TRACKER,MADE A COPY TO SERVE AS A CHECK LIST [COPY AS OF 10/03/2023 10:11AM,,,,,,,,,,,
Not Done - 2,Cells for questions that are still incomplete are shaded red.,,Make sure to apply corrections from this checklist before applying corrections from other checklists!                           ,,,,,,,,,
Done - 441,,,,,,,,,,,,
No Key - 31,,,,,,,,,,,,
Status,Location in Database,,Item #,Statement Type (Question/Reply),English,Filipino,,,Cebuano,Actual in the DB,Cebuano (fill in the blanks),firestore document name
No Key,,,,Reply,"1. Once per day
2. Twice per day
3. Thrice per day
4. Once a week
5. Twice a week
6. More than twice a week
7. I do not remember","1. Isa kada araw
2. Dalawa kada araw
3. Tatlo kada araw
4. Isa kada linggo
5. Dalawa kada linggo
6. Higit dalawa kada linggo
7. Hindi ko maalala",,"1. Isang beses/ araw
2. Dalawang beses/ araw
3. Tatlong beses/ araw
4. Isang beses/ linggo
5. Dalawang beses/ linggo
6. Lagpas dalawang beses/ linggo
7. Hindi matandaan","1. Kausa sa usa ka adlaw
2. Kaduha sa usa ka adlaw
3. Katulo sa usa ka adlaw
4. Kausa sa usa ka semana
5. Kaduha sa usa ka semana
6. Lapas kaduha sa usa ka semana       7. Wala nako nakahinumdum",,,
No Key,,buto-x-medicationtype,15,Question,What are these medicines?,Anu-anong mga gamot ito?,,Ano ang mga ininom/ kinain mo?,Unsa ang imong mga giinum o gikaon?,,,
No Key,,,,Reply,"1. Painkiller medicines
2. Fruits
3. Coffee
4. I cannot remember
5. Others","1. Mga painkiller na gamot
2. Mga prutas 
3. Kape
4. Wala akong maalala
5. Iba pa",,"1. tabletang pantanggal ng kirot
2. kape/ tsaa 
3. prutas
4. hindi matandaan
5. Iba pa","1. tambal pawala sa kasakit
2. prutas
3. kape
4. wala nako nakahinumdum
5. uban pa",,,
Done,,buto-x-painintensity,16,Question,"From 1 to 10, 10 is the highest, how do you felt that pain?","Mula 0 hanggang 10, 10 ang pinakamataas, gaano mo naramdaman ang sakit na ito?","Mula 0 hanggang 10, kung saan 10 ang pinakamataas, gaano kasakit?",Gaano kasakit ang nararamdaman mo kung nasa  #10 ang pinakamakirot?,"Unsa ang kasakit nga imong nabati kung mag score tag 1 hangtod sa 10, 10 ang pinakasakit?",,,
Done,,,,Reply,"1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10","1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",,"1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10","1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",,,
Done,,buto-x-past,17,Question,When was the last time that you had pain?,Kailan yung huling beses na naranasan mo ang sakit?,Kailan ang huling beses na naranasan mo ang sakit?,Kailan mo huling naramdaman na masakit/ makirot?,Kanus a ka katapusang nakabati ug kasakit?,,,
Done,,,,Reply,"1. Hours ago
2. Yesterday
3. More than 2 days ago
4. Weeks ago
5. Months ago
6. Years ago
7. I do not know","1. Oras na nalipas
2. Kahapon
3. Higit dalawang araw
4. Linggong nakalipas
5. Buwan na nakalipas
6. Taong nalipas
7. Hindi ko alam",,"1. lagpas ng isang oras  
2. kahapon 
3. kamakalawa
4. lagpas isang linggo  
5. lagpas isang buwan 
6. lagpas isang taon 
7. hindi ko matandaan","1. lapas na sa usa ka oras
2. gahapon
3. pipila ka adlaw na ang milabay
4. pipila ka semana na ang milabay
5. pipila ka buwan na ang milabay
6. pipila ka tuig na ang milabay
7. wala nako nakahinumdum",,,
No Key,,buto-x-present,18,Question,When did you first experience this?,Kailan mo unang naranasan ito?,,Kailan ito nagsimulang sumakit?,Kanus a siya nagsugod ug sakit?,,,
No Key,,,,Reply,"1. Minutes ago
2. Hours ago
3. Yesterday
4. 1 week ago
5. More than 1 week ago
6. I do not know","1. Minutong nakalipas
2. Oras na nakalipas
3. Kahapon
4. 1 linggong nakalipas
5. Higit 1 linggong nakalipas
6. Hindi ko alam",,"1. ilang minuto na
2. lagpas ng isang oras
3. kahapon 
4. noong nakaraang linggo 
5. ilang linggo na
6. hindi ko matandaan","1. pipila ka minuto na ang milabay
2. pipila ka oras na ang milabay
3. gahapon
4. isa ka semana na ang milabay
5. pipila ka semana na ang milabay
6. wala nako nakahinumdum",,,
No Key,,buto-x-recurring,19,Question,Do you always feel pain while ____?,Palagi mo bang nararamdaman ang sakit habang ____?,Lagi ka bang nakakaramdam ng sakit habang ____?,Palagi ba itong sumasakit/ kumikirot kapag....?,Permi ba siyang mosakit kung _______.,,,
No Key,,,,Reply,"1. Yes
2. No
3. I do not know
4. Sometimes","1. Oo
2. Hindi
3. Hindi ko alam
4. Minsan",,"1. Oo
2. Minsan
3. Hindi naman
4. Hindi ako sigurado","1. Oo
2. dili
3. wala ko kahibalo
4. usahay",,,
No Key,,buto-x-reliefactivities,20,Question,What do you do to relieve your pain on ____?,Ano ang ginagawa mo para maibsan ang iyong sakit sa ____?,,Anong ginagawa mo para mabawasan ang kirot/ sakit?,Unsa ang imong gibuhat para makuhaan ang kasakit?,,,
No Key,,,,Reply,"1. Rest
2. Sleep
3. Band-aid","1. Pahinga
2. Tulog
3. Band-aid",,"1. Nahihiga/ Nagpapahinga/ Natutulog
2. Naglalagay ng Band-aid/ pamahid
3. Nagpapahilot/ Nagpapatawas ","1. Mohigda                                            2. Matulog
2. Magbutang ug band aid",,,
Done,"cough-and-cold-
module",color-phlegm,21,Question,What is the color of the phlegm?,Ano yung kulay ng plema?,Ano ang kulay ng plema?,Ano ang kulay ng plema?,Unsay kolor sa plema?,,,
Done,,,,Reply,"1. Whitish
2. Yellowish
3. Greenish
4. Brownish
5. Blood-tinged","1. Puti
2. Dilaw
3. Berde
4. Kayumanggi
5. May dugo",,"1. maputi
2. manilaw-nilaw
3. berdeng-berde
4. parang kulay tsokolate
5. may halong dugo","1. Puti
2. yelo yelo
3. green
4. murag tsokolate
5. murag adunay sagol nga dugo",,,
Done,,current-temp,21,Question,What is your latest temperature?,Ano po latest temperature ninyo?,Ano ang kasalukuyang temperature mo?,"Mainit bang pakiramdam ng katawan mo, ano ang huli mong temperatura?",Pila ang imong katapusang temperatura?,,,
Done,,,,Reply,"1. 38
2. 39
3. 40
4. I do not know","1. 38
2. 39
3. 40
4. Hindi ko alam",,"1. 38
2. 39
3. 40
4. Hindi ko alam","1. 38
2. 39
3. 40
4. Wala ko kahibalo",,,
Done,,does-singa-colds,22,Question,Do you sneeze hard enough?,Sinisingahan mo ba ito?,,Nakasisinga ka ba nang husto?,Makasikma baka ug kusog?,,,
Done,,,,Reply,"1. Yes
2. No
3. Sometimes","1. Oo
2. Hindi
3. Minsan",,"1. Oo 
2. Minsan 
3. Hindi","1. Oo 
2. Usahay
3. Dili",,,
Done,,does-spit-colds,23,Question,Did you spit it?,Dinudura mo ba ito?,,Naidudura mo ba? ,Maluwa ba nimo?,,,
Done,,,,Reply,"1. Yes
2. No
3. Sometimes","1. Oo
2. Hindi
3. Minsan",,"1. Oo
2. Minsan 
3. Hindi","1. Oo
2. Usahay
3. Dili",,,
Done,,does-swallow-phlegm,24,Question,Do you swallow it or not?,Nilulunok ba ito o hindi?,Nilulunok mo ba ito?,Nalulunok mo ba?,Imo ba kining tunlon?,,,
Done,,,,Reply,"1. Yes
2. No
3. Sometimes","1. Oo
2. Hindi
3. Minsan",,"1. Oo
2. Minsan 
3. Hindi","1. Oo
2. Usahay
3. Dili   ",,,
Done,,duration-cough,25,Question,How many days since it started?,Nakakailang araw na?,,Gaano na ito katagal?,Unsa nani kadugay nimo nabati?,,,
Done,,,,Reply,"1. One
2. Two
3. Three","1. Isa
2. Dalawa
3. Tatlo",,"1. Isang araw
2. Dalawang araw
3. Tatlong araw","1. Usa ka adlaw
2. Duha ka adlaw
3. Tulo ka adlaw",,Change to duration_units,
Done,,fever-hashotfeeling,26,Question,Do you feel hot?,Mainit po ba ang pakiramdam ninyo?,Mainit ba ang pakiramdam mo?,Mainit bang pakiramdam ng katawan mo?,Init ba ang imong pamati?,,,
Done,,,,Reply,"1. Yes
2. No
3. Sometimes","1. Oo
2. Hindi
3. Minsan",,"1. Oo
2. Minsan
3. Hindi","1. Oo
2. Usahay
3. Dili",,,
Done,,frequent-hascolds,27,Question,Do you get colds easily?,Madalas ka ba siponin?,,Mabilis ka bang mahawa o madaling magkasipon?,Mabilis ka bang mahawa o madaling magkasipon?,cebuano is same with filipino,,
Done,,,,Reply,"1. Yes
2. No
3. Sometimes","1. Oo
2. Hindi
3. Minsan",,"1. Oo
2. Minsan
3. Hindi","1. Oo
2. Usahay
3. Dili",,,
Done,,frequent-hascough,28,Question,Do you get coughs easily?,Madalas ka bang ubohin?,Madalas ka bang ubuhin?,Madali ka bang mahawa o kaagad inuubo?,Dali raba ka ubhon?,,,
Done,,,,Reply,"1. Yes
2. No
3. Sometimes","1. Oo
2. Hindi
3. Minsan",,"1. Oo
2. Minsan
3. Hindi","1. Oo
2. Usahay
3. Dili",,,
Done,,had-seizure,29,Question,Do you have seizures?,Meron ka bang seizures?,Nagkaroon ka ba ng kombulsiyon?,Naranasan mo na bang makombulsiyon?,Nakasuway baka nga nag combulsiyon?,,,
Done,,,,Reply,"1. Yes
2. No
3. I forgot
4. I do not know","1. Oo
2. Hindi
3. Nalimutan ko
4. Hindi ko alam",,"1. Oo
2. Hindi 
3. Hindi matandaan
4. Hindi ko alam","1. Oo
2. Wala
3. Wala nako kahinumdum
4. Wala ko kahibalo",,,
Done,,has-chills,30,Question,Do you have chills?,Meron ka bang chills?,Giniginaw ka ba?,Gininaw o nianlamig ka ba?,Nagkurog kaba sa katugnaw?,filipino typo?,,
Done,,,,Reply,"1. Yes
2. No
3. I forgot
4. I do not know","1. Oo
2. Hindi
3. Nalimutan ko
4. Hindi ko alam",,"1. Oo
2. Hindi 
3. Hindi matandaan
4. Hindi ko alam","1. Oo
2. Dili 
3. Wala nako kahinumdum
4. Wala ko kahibalo",,,
Done,,has-cough,31,Question,Do you have ____?,May ____ ka ba?,,Meron ka bang _____? ,Aduna ba kay _____?,,,
Done,,,,Reply,"1. Yes
2. No
3. Maybe","1. Oo
2. Hindi
3. Baka",,"1. Oo
2. Wala
3. Hindi sigurado","1. Oo
2. Wala
3. dili ko sigurado",,,
Done,,has-other-feelings,32,Question,Do you want to add anything else?,May iba ka pa bang nararamdaman?,,May iba pa bang masakit/ makirot sa iyo?,Aduna bakay laing gipamati nga sakit?,,,
Done,,,,Reply,"1. Nope nothing else
2. I do have but I'm okay overall","1. Wala naman pong iba
2. Meron pa po pero okay naman po ako",,"1. Wala na
2. Meron pa pero kaya na ng katawan ko","1. Wala
2. Oo, pero ok rako",,,
Done,,has-phlegm,33,Question,Does it come with phlegm or not?,May kasamang plema o tuyo ito?,,May kasama bang plema?,Aduna ba kini kauban na plema?,,,
Done,,,,Reply,"1. With phlegm
2. Dry","1. Merong plema
2. Tuyo",,"1. Oo, may plema.
2. Walang plema, tuyo.","1. Oo, adunay plema
2. uga kini",,,
Done,,has-relief-meds,34,Question,Have you taken any medication for this?,Nakainom ka ba ng anumang gamot para dito?,,May ininom ka na bang gamot para dito?,Aduna ba kay giinum na tambal para niini?,,,
Done,,,,Reply,"1. Yes
2. No
3. I forgot
4. I do not know","1. Oo
2. Hindi
3. Hindi ko maalala
4. Hindi ko alam",,"1. Oo
2. Wala pa
3. Hindi matandaan
4. Hindi alam","1. Oo
2. Wala 
3. Nakalimot nako
4. wala ko kahibalo",,,
Done,,highest-temp,35,Question,What is your highest temperature?,Ano po pinakamataas na temperature ninyo?,Ano ang pinakamataas mong temperature?,Ano ang pinakamataas mong lagnat?,Unsay pinakataas nimo nga hilanat?,,,
Done,,,,Reply,"1. 38
2. 39
3. 40
4. I do not know","1. 38
2. 39
3. 40
4. Di ko alam",,"1. 38
2. 39
3. 40
4. hindi alam","1. 38
2. 39
3. 40
4. wala ko kahibalo",,,
Done,,is-fever-onoff,36,Question,Is your fever on and off?,On off ba ang iyong lagnat?,On-and-off ba ang lagnat mo?,Pabalik-balik bang lagnat mo?,Magbalik balik ba ang imong hilanat?,,,
Done,,,,Reply,"1. Yes
2. No
3. Sometimes","1. Oo
2. Hindi
3. Minsan",,"1. Oo
2. Hindi
3. Minsan","1. Oo
2. Dili
3. Usahay",,,
Done,,kind-reliefmeds,37,Question,What are these medicines?,Anu-anong mga gamot ito?,,Alam mo ba ang mga gamot na ito?,Nakahibalo baka aning mga tambala?,,,
Done,,,,Reply,"1. Neozep
2. Bioflu
3. Anti histamine
4. Sambong leaves
5. Sugar apple
6. Calamansi
7. I cannot remember","1. Neozep
2. Bioflu
3. Anti histamine
4. Dahon ng sambong
5. Atis
6. Kalamansi
7. Wala akong maalala","1. Neozep
2. Bioflu
3. Anti histamine
4. Dahon ng sambong
5. Atis
6. Kalamansi
7. Hindi ko maalala","1. Neozep
2. Bioflu
3. Antihistamine
4. Dahon ng sambong
5. Atis
6. Kalamansi
7. Hindi ko matandaan","1. Neozep
2. Bioflu
3. Antihistamine
4. Dahon sa sambong
5. Atis
6. Kalamansi
7. wala ko kahibalo",,,
Done,,lasttime-cough,38,Question,When is the last time you had a _____?,Kailan yung huling beses na nagka-____ ka?,Kailan ka huling nagka-____?,Kailan ka huling nagkaroon ng ____?,Kanus a ka katapusang gi ______?,,,
Done,,,,Reply,"1. Yesterday
2. Last week
3. Last month
4. Last year
5. I forgot
6. I don't know","1. Kahapon
2. Nakaraang linggo
3. Nakaraang buwan
4. Nakaraang taon
5. Hindi ko maalala
6. Hindi ko alam",,"1. Kahapon 
2. Nakaraang linggo
3. Nakaraang buwan
4. Nakaraang taon
5. Hindi matandaan
6. Hindi alam","1. Gahapon
2. atong miaging semana
3. atong miaging buwan
4. atong miaging tuig
5. nakalimot nako
6. wala ko kahibalo",,,
Done,,lasttime-cough-days,39,Question,How many days did you experience it?,Ilang araw mo ito naranasan?,,Ilang araw mo na itong nararamdaman?,Pila ka adlaw nani nimo nasinati?,,,
Done,,,,Reply,"1. One
2. Two
3. Three
4. Four
5. Five
6. Six
7. Seven
8. More than seven days","1. Isa
2. Dalawa
3. Tatlo
4. Apat
5. Lima
6. Anim
7. Pito
8. Lagpas sa isang linggo",,"1. Isang araw
2. Dalawang araw
3. Tatlong araw
4. Apat na araw
5. Limang araw
6. Anim na araw
7. Isang linggo 
8. Lagpas isang linggo","1. usa
2. Duha
3. Tulo
4. Upat
5. Lima
6. Unom
7. usa na ka semana
8. lapas na sa usa ka semana",,,
Done,,relief-meds-frequency,40,Question,Do you take it when needed?,Iniinom ba ito kapag kinakailangan?,,Iniinom mo ba ito kung kailangan?,Moinum baka niini kung kinahanglanon?,,,
Done,,,,Reply,"1. Always
2. Sometimes
3. Never","1. Palagi
2. Minsan
3. Hindi kailanman",,"1. Oo, palagi.
2. Minsan lang
3. Hindi kahit kailan","1. Permi
2. Usahay
3. dili gud",,,
Done,,relief-meds-stoppage-x,41,Question,Did your ____ disappear?,Nawala o naibsan ba ang iyong ____ pagkatapos inumin ang mga ito?,,"Pagkatapos mong uminom nito, nawala ba ang _________?",Paghuman nimo ug inum nawala ba ang imong _________?,,,
Done,,,,Reply,"1. Yes
2. No
3. A little bit","1. Oo
2. Hindi
3. Medyo",,"1. Oo
2. Hindi
3. Medyo","1. Oo
2. Dili
3. Usahay",,,
Done,,reliefacts-for-x,42,Question,What do you do to relieve your ____?,Anu-ano ang mga ginawa mo upang maibsan o mawala ang iyong ____?,,Anong madalas mong gawin para mabawasan/ mawala ang _________? ,Unsay kasagaran nimong buhaton para mawala ang imong _________?,,,
Done,,,,Reply,"1. Rest
2. Sleep","1. Pahinga
2. Tulog",,"1. Nagpapahinga
2. Natutulog","1. Mopahuway
2. Matulog",no fallback?,,
Done,,singa-appearance,43,Question,What does your snot look like?,Ano yung kulay ng sininga mo?,,Anong hitsura ng sipon mo?,Unsay hitsura sa imong sip on?,,,
Done,,,,Reply,"1. Whitish
2. Yellowish
3. Greenish
4. Brownish
5. Blood-tinged","1. Puti
2. Dilaw
3. Berde
4. Kayumanggi
5. May dugo",,"1. Parang tubig
2. Manilaw-nilaw
3. Kulay berde
4. Mala-tsokolate
5. May kasamang dugo","1. Puti
2. Yellow
3. Green
4. Brown
5. Adunay kauban na dugo",english in cebuano?,,
Done,,spit-appearance,44,Question,What is the color of your spit?,Ano yung kulay ng dura mo?,,Anong hitsura ng dura mo?,Unsay hitsura sa imong luwa?,,,
Done,,,,Reply,"1. Whitish
2. Yellowish
3. Greenish
4. Brownish
5. Blood-tinged","1. Puti
2. Dilaw
3. Berde
4. Kayumanggi
5. May dugo",,"1. Karaniwang puti
2. Manilaw-nilaw
3. Kulay berde
4. Mala-tsokolate
5. May kasamang dugo","1. Puti
2. Yellow
3. Green
4. Brown
5. Adunay kauban na dugo",english in cebuano?,,
Done,ear-module,earp-x-prescribeddrops,45,Question,,Nagreseta ba ng gamot sa tenga yung doktor?,,Nagbigay ba ang doktor ng reseta ng gamot para sa tenga mo?,Naghatag ba ang doctor ug tambal para sa imong dunggan?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi ko alam","1. Oo
2. Wala
3. Wala ko kahibalo",,,
Done,,si-dischargecolor,46,Question,,Anong kulay ito?,,Napansin mo ba kung anong kulay ito?,Napansin ba nimo kung unsay color ato?,,,
Done,,,,Reply,"1. White
2. Red
3. Yellow
4. I don't know","1. Puti
2. Pula
3. Dilaw
4. Wala",,"1. Kulay puti
2. Kulay pula
3. Kulay dilaw
4. Hindi ko alam","1. Puti
2. Puwa
3. Yellow
4. Wala ko kahibalo",,,
Done,,earp-x-checkup,47,Question,,Nagpatingin ka ba sa doktor?,,Nagpatingin ka ba sa doktor?,Nakapacheck up baka sa doctor?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi alam","1. Oo
2. Wala
3. Mura/ Wala ko kahibalo",,,
Done,,earp-x-clearance,48,Question,,Kinlaro ka ba ng doktor mula sa impeksyon?,,May sinabi ba ang doktor na ligtas ka mula sa impeksyon?,Aduna bay gisulti ang doctor mahitungod sa impeksyon?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi alam","1. Oo
2. wala
3. dili ko sigurado/Wala ko kahibalo",,,
